grid_id,posterior_mean,posterior_median,posterior_sd,ci_2_5,ci_97_5,ci_width,r_hat,theta_mean,theta_sd,grid_row,grid_col,lon_center,lat_center,p_s2_mean,p_s2_std,p_s2_valid_ratio,p_viirs_mean,p_viirs_std,p_viirs_valid_ratio,p_fused,evidence_type,fusion_source
0,0.15536082142955873,0.15514324478494515,0.011642686184761653,0.13248083897403085,0.17940792487149324,0.04692708589746239,1.0008322143217647,-1.6958500462986508,0.08848816781038212,0,0,37.41685344753856,47.04832110046439,,,0.0,,,0.0,,no_data,no_data
1,0.1560991521476123,0.15541140070684442,0.012006955849743251,0.13354516332300528,0.18496001924877115,0.05141485592576586,1.0008322143217647,-1.690339175905274,0.09012812111221136,0,1,37.42343361843932,47.04841189473224,0.8269568085670471,0.0208721905946731,0.1536,,,0.0,0.8269568085670471,single_source,s2_only
2,0.15597998029464055,0.15541188651125476,0.01252264514254799,0.13255830776318955,0.18351481329830222,0.05095650553511266,1.0008322143217647,-1.6915016810806758,0.0942439870257315,0,2,37.43001382131257,47.0485023110636,0.8263745903968811,0.0258932001888752,0.16,,,0.0,0.8263745903968811,single_source,s2_only
3,0.15597878241746815,0.15561480133134425,0.011621921455618708,0.13341158159894453,0.18257972491496835,0.049168143316023816,1.0008322143217647,-1.6911129000809555,0.08791419055638304,0,3,37.43659405602514,47.0485923494538,0.7736804485321045,0.117995336651802,0.1856,,,0.0,0.7736804485321045,single_source,s2_only
4,0.15558431224955716,0.15528495866334374,0.011262132601624404,0.13337876535348167,0.17937989546583524,0.04600113011235357,1.0008322143217647,-1.6939564007861931,0.08521668044514744,0,4,37.443174322443866,47.04868200989819,0.5424152612686157,0.0594094544649124,0.2,,,0.0,0.5424152612686157,single_source,s2_only
5,0.15558970176968726,0.1551602157227458,0.011776176446245516,0.13219291105625408,0.18116447190384558,0.048971560847591494,1.0008322143217647,-1.6941443172521455,0.08905539752144716,0,5,37.44975462043556,47.048771292392125,0.293681263923645,0.3180790841579437,0.2176,,,0.0,0.293681263923645,single_source,s2_only
6,0.15479246014561296,0.15465279583618857,0.012000489575307385,0.1299801843029109,0.17988795260028978,0.04990776829737889,1.0008322143217647,-1.7004040930609385,0.09195436441494681,0,6,37.45633494986704,47.04886019693101,0.0005068571772426,0.0039699510671198,0.24,,,0.0,0.0005068571772426,single_source,s2_only
7,0.15532041446736142,0.15516887818782138,0.011365363879614544,0.1323142611815624,0.17962243807843564,0.04730817689687325,1.0008322143217647,-1.696051863450101,0.08674167977976653,0,7,37.46291531060512,47.04894872351026,0.0064664115197956,0.0214614793658256,0.2496,,,0.0,0.0064664115197956,single_source,s2_only
8,0.1552669345784011,0.15499254054012077,0.012177730861672679,0.13084255814182894,0.18114443577945388,0.05030187763762495,1.0008322143217647,-1.6968358091786355,0.09283217422959039,0,8,37.4694957025166,47.04903687212528,0.0050994521006941,0.013917364180088,0.28,,,0.0,0.0050994521006941,single_source,s2_only
9,0.15550741904589174,0.15525203729892828,0.011610168257411364,0.13310079398336644,0.17993980829834566,0.04683901431497922,1.0008322143217647,-1.694697250226573,0.0878255986390301,0,9,37.47607612546829,47.049124642771545,0.0184062663465738,0.0568336471915245,0.2832,,,0.0,0.0184062663465738,single_source,s2_only
10,0.15512146538765462,0.1548913606526276,0.011464466598197179,0.13173465448031457,0.17905492226869058,0.047320267788376,1.0008322143217647,-1.6976286241749559,0.08772506629666982,0,10,37.48265657932699,47.04921203544451,0.0097881983965635,0.0231532156467437,0.32,,,0.0,0.0097881983965635,single_source,s2_only
