grid_id,bayes_mean,bayes_ci_lower,bayes_ci_upper,ds_belief,ds_plausibility,ds_uncertainty_width,conflict_k,consistency_label,high_uncertainty_flag,divergence_reason,jsd_s2_viirs,fusion_suppression_ratio,p_s2_only,p_viirs_only,p_both
0,0.1553608214295587,0.1324808389740308,0.1794079248714932,,,,,no_ds_data,False,"Insufficient evidence for D-S fusion; S2 low structural damage, VIIRS high functional loss",0.1435832114694147,0.4682306914303641,0.0511409765884357,0.504878161597138,0.1553608214295587
1,0.1560991521476123,0.1335451633230052,0.1849600192487711,0.4114318567588812,0.9139066504886632,0.502474793729782,0.0,divergent_low_bayes,False,Bayesian posterior entirely below D-S belief; Wide D-S interval (top quartile); Bayesian more conservative than D-S,0.082929173990802,0.1367300259842901,0.1329538638938894,0.5033622149215248,0.1560991521476123
2,0.1559799802946405,0.1325583077631895,0.1835148132983022,0.4104915509972328,0.9137536844564828,0.50326213345925,0.0,divergent_low_bayes,False,Bayesian posterior entirely below D-S belief; Wide D-S interval (top quartile); Bayesian more conservative than D-S,0.0822727759175078,0.1468273779691196,0.1309365840818334,0.4987635312807675,0.1559799802946405
3,0.1559787824174681,0.1334115815989445,0.1825797249149683,0.3447337816814951,0.8991573394493633,0.5544235577678682,0.0,divergent_low_bayes,False,Bayesian posterior entirely below D-S belief; Wide D-S interval (top quartile); Bayesian more conservative than D-S,0.0905403668613195,0.2050437575600157,0.1194491691819852,0.5028536787673905,0.1559787824174681
4,0.1555843122495571,0.1333787653534816,0.1793798954658352,0.2659970252954253,0.7756033282720337,0.5096063029766085,0.0,divergent_low_bayes,False,"Bayesian posterior entirely below D-S belief; Wide D-S interval (top quartile); S2 low structural damage, VIIRS high functional loss; Bayesian more conservative than D-S",0.1035252471671752,0.295799545301128,0.098916159144589,0.5024461671318239,0.1555843122495571
5,0.1555897017696872,0.132192911056254,0.1811644719038455,0.0989823331928253,0.7619423331928253,0.66296,0.0,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; Wide D-S interval (top quartile); S2 low structural damage, VIIRS high functional loss",0.1228956055848753,0.3971080835675197,0.0726577887089537,0.5018966098669568,0.1555897017696872
6,0.1547924601456129,0.1299801843029109,0.1798879526002897,0.0005433533659552,0.4571899874107018,0.45664663404474665,0.0,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; Wide D-S interval (top quartile); High fusion suppression (top quartile); S2 low structural damage, VIIRS high functional loss",0.1727921820701199,0.5465303108622847,0.0244558042380139,0.5027883729533602,0.1547924601456129
7,0.1553204144673614,0.1323142611815624,0.1796224380784356,0.0034629725384423,0.4679306254489928,0.4644676529105505,0.0,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; Wide D-S interval (top quartile); High fusion suppression (top quartile); S2 low structural damage, VIIRS high functional loss",0.1624881366159643,0.5221201644233404,0.0333844225636498,0.504492036987123,0.1553204144673614
8,0.1552669345784011,0.1308425581418289,0.1811444357794538,0.0028185781259205,0.4500968209126458,0.4472782427867253,0.0,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; Wide D-S interval (top quartile); High fusion suppression (top quartile); S2 low structural damage, VIIRS high functional loss",0.1621642463729892,0.5264617811004632,0.0318489998978592,0.5002575546489652,0.1552669345784011
9,0.1555074190458917,0.1331007939833664,0.1799398082983456,0.0096704848759284,0.4842795830036114,0.474609098127683,0.0,strong_consistent,False,"Bayesian mean within D-S [Belief, Plausibility]; Wide D-S interval (top quartile); S2 low structural damage, VIIRS high functional loss",0.1551401078436141,0.5047133264290182,0.0394443459860424,0.5036417172759724,0.1555074190458917
