grid_id,p_s2_only,p_viirs_only,p_both,kl_s2_vs_neutral_prior,kl_viirs_vs_neutral_prior,kl_both_vs_neutral_prior,kl_s2_vs_s2_global,kl_viirs_vs_viirs_global,kl_both_vs_both_global,kl_s2_vs_viirs,kl_viirs_vs_s2,jsd_s2_viirs,abs_diff_s2_viirs,best_single_sensor_kl,fusion_kl_loss,fusion_suppression_ratio,conflict_rank
0,0.05114097658843579,0.504878161597138,0.1553608214295587,0.49128600708634296,4.7593676193048023e-05,0.2612508202982418,5.3659884667209235e-06,5.9351513815150605e-06,8.58994668311594e-09,0.5000923075834841,0.8339800622426987,0.14358321146941472,0.45373718500870225,0.49128600708634296,0.23003518678810114,0.46823069143036417,2
1,0.1329538638938894,0.5033622149215248,0.1560991521476123,0.3011836286202755,2.2609148748763564e-05,0.26000278325298243,0.050071168077599815,8.542862596676109e-08,1.8158810757461707e-06,0.30614266449856525,0.39338797873139997,0.08292917399080207,0.37040835102763536,0.3011836286202755,0.04118084536729305,0.13673002598429013,2
2,0.13093658408183348,0.49876353128076756,0.1559799802946405,0.3049839366019975,3.057712903817896e-06,0.260203944868026,0.04794959213505254,3.858017257544512e-05,1.2436905878202746e-06,0.3031616491234276,0.3912062814234951,0.08227277591750787,0.36782694719893405,0.3049839366019975,0.044779991733971514,0.14682737796911965,2
3,0.1194491691819852,0.5028536787673905,0.1559787824174681,0.32732111974967104,1.6287053437806075e-05,0.2602059674274466,0.036564563212655846,1.8225301918572794e-07,1.2384866186662376e-06,0.33168133344989154,0.43860576901773757,0.09054036686131953,0.3834045095854053,0.32732111974967104,0.06711515232222443,0.20504375756001572,2
4,0.098916159144589,0.5024461671318239,0.1555843122495571,0.37045219618007613,1.1967515014179187e-05,0.26087260499420534,0.019419369920523115,1.0064677897355604e-06,1.1796992998653255e-07,0.37438866753611033,0.5210889856310004,0.1035252471671752,0.4035300079872349,0.37045219618007613,0.1095795911858708,0.295799545301128,2
5,0.07265778870895379,0.5018966098669568,0.1555897017696872,0.43268699057408844,7.194275227424699e-06,0.2608634889626147,0.004570647773608001,3.1699303934403737e-06,1.2530412357806284e-07,0.4359362062511798,0.6604035022662326,0.12289560558487535,0.42923882115800305,0.43268699057408844,0.17182350161147375,0.39710808356751975,2
6,0.024455804238013905,0.5027883729533602,0.1547924601456129,0.5782401444183759,1.5550128056389303e-05,0.26221437853634855,0.00862307611099896,2.6964027126759804e-07,1.4463116069406623e-06,0.5835597279877685,1.184970425504386,0.17279218207011995,0.4783325687153463,0.5782401444183759,0.31602576588202735,0.5465303108622847,3
7,0.033384422563649825,0.504492036987123,0.1553204144673614,0.5468304424809148,4.035733549512602e-05,0.2613192419410916,0.0034240371725549196,3.572609423957776e-06,2.943134252184987e-08,0.5552552442170565,1.0388222182569098,0.1624881366159643,0.47110761442347315,0.5468304424809148,0.28551120053982326,0.5221201644233404,3
8,0.03184899989785928,0.5002575546489652,0.1552669345784011,0.5520353138278203,1.3266880027413197e-07,0.2614098192796729,0.004121554236151102,1.679704737256012e-05,7.615174240965718e-08,0.5525177444052655,1.0472905970224575,0.16216424637298926,0.4684085547511059,0.5520353138278203,0.29062549454814746,0.5264617811004632,3
9,0.039444345986042496,0.5036417172759724,0.1555074190458917,0.526972969358356,2.652444395243687e-05,0.26100268905532303,0.0013559470016825791,4.7274817691566294e-07,3.741408409763125e-08,0.5337084668335688,0.9550599270271816,0.15514010784361415,0.4641973712899299,0.526972969358356,0.265970280303033,0.5047133264290182,3
10,0.034777579555074274,0.49984417625408706,0.1551214653876546,0.542171155073158,4.85620803667851e-08,0.26165630657916794,0.002854471945228509,2.1930746117620678e-05,3.1358010533236386e-07,0.5418812328249066,1.0034245466924352,0.15850421679401658,0.4650665966990128,0.542171155073158,0.2805148484939901,0.5173916868671089,3
11,0.033936602154042685,0.4973265925059061,0.1553492258022321,0.5449766646089841,1.4294283367986393e-05,0.26127045405409166,0.0031912260203200097,6.795428260413568e-05,1.3297747090310573e-08,0.5400070020116094,1.0068080572172227,0.15821365166444357,0.4633899903518634,0.5449766646089841,0.2837062105548924,0.5205841442008331,3
