grid_id,p_viirs_only_mean,p_viirs_only_sd,p_viirs_only_ci_2_5,p_viirs_only_ci_97_5
0,0.504878161597138,0.11358436059550563,0.25981840054104816,0.753622984078406
1,0.5033622149215248,0.1141908568148454,0.2517243362403789,0.7522940452252532
2,0.49876353128076756,0.11262715992290365,0.259238360197887,0.7456123758039945
3,0.5028536787673905,0.11370160242734942,0.26165607840956695,0.7392820680846245
4,0.5024461671318239,0.11212352053975055,0.26496296858808227,0.7427300827354769
5,0.5018966098669568,0.11117692833965355,0.2592330866123917,0.7424764922561229
6,0.5027883729533602,0.11132117407417919,0.2627791052807571,0.7343330890892272
7,0.504492036987123,0.11354363745825909,0.2569801748052777,0.7447788581588252
8,0.5002575546489652,0.11045838455268615,0.25899045669300286,0.7426823436596396
9,0.5036417172759724,0.11253946607845075,0.2587643852610798,0.7533371712993231
10,0.49984417625408706,0.11411168588498168,0.2553314474830618,0.7475968673585563
11,0.4973265925059061,0.11223310493294715,0.2595102890953158,0.7375842179875282
12,0.5015410698090185,0.11270815096023375,0.25651666696228675,0.735101897745477
13,0.5039745357244391,0.11026725717259658,0.26692730658872443,0.7324724823403724
14,0.5044620418182623,0.11381724759177446,0.261575169072596,0.7484839975833538
15,0.4987476667579131,0.11349813494478059,0.25658099536595397,0.735017072831205
16,0.5024217624006314,0.11125170994009642,0.25791449956161017,0.7385488375949387
17,0.5018380227610231,0.11193230683074387,0.26221572798452525,0.7422636377366626
18,0.5015298930655617,0.11384582411676712,0.2551849688178407,0.7528005932055276
19,0.5411949355770078,0.09123367258854242,0.370076250890545,0.7363613692631933
20,0.5142087443862791,0.08653593460568765,0.3402133753095901,0.6967214715909418
21,0.467829095579792,0.09052986056032375,0.2745558423088392,0.6393937869724977
22,0.42803702423909995,0.0969772526269211,0.2228421466354658,0.5849113433338213
23,0.44872782290165036,0.09311868764784628,0.2529233946091203,0.6111076028697222
24,0.45359735695898135,0.09452062653749159,0.24682055462397007,0.6193658229671472
25,0.43424672374701767,0.0965954563043769,0.23185510077405072,0.5947185491494579
26,0.39675925158893394,0.11348325146258487,0.16936835747702805,0.5697092272986533
27,0.41142721821318673,0.10544349068082763,0.19029072415964818,0.5745229825453051
28,0.3687419985526084,0.1247578489525126,0.1331920380302323,0.5523567007761792
29,0.395669297901471,0.11371719494818261,0.1632588161397866,0.5647323670453728
30,0.42381860424437245,0.10288375227001087,0.20155657201731705,0.5949255241784851
31,0.4567650428176055,0.09189931700182247,0.260044071233532,0.6267953251563219
32,0.5018659580688447,0.11498353361616535,0.25054174819820124,0.7540820984096155
33,0.503099259710691,0.11406410764116529,0.2540796804372622,0.7429179054357083
34,0.3852558325404134,0.11848481233666416,0.1556961387135066,0.5614410143903553
35,0.4131032009353569,0.10584356022118963,0.1897042594588385,0.5757727401800717
36,0.40117754276274514,0.10974650078595989,0.18050823492358092,0.5719821192899643
