grid_id,p_s2_only_mean,p_s2_only_sd,p_s2_only_ci_2_5,p_s2_only_ci_97_5
0,0.05114097658843579,0.055270918490672075,0.006661106546115648,0.19518077998087746
1,0.1329538638938894,0.1463527165353469,0.026421447608480635,0.5523529904291908
2,0.13093658408183348,0.14417700992855348,0.025605136940708186,0.5612020011280698
3,0.1194491691819852,0.13186239112077036,0.024616230381762434,0.5010096841525252
4,0.098916159144589,0.10566725379785279,0.022553121803129652,0.4241160925741543
5,0.07265778870895379,0.06710215132012595,0.018588657468258107,0.27199024117756976
6,0.024455804238013905,0.017076868126560518,0.0014668119360292684,0.06001698211682194
7,0.033384422563649825,0.021055103920192622,0.004767824800938907,0.08299902280775748
8,0.03184899989785928,0.01974775026214399,0.004216650210944302,0.08025378066775127
9,0.039444345986042496,0.026038409859477984,0.008044980328852213,0.10734150146119352
10,0.034777579555074274,0.02148849807556478,0.005362632212571022,0.085010989476919
11,0.033936602154042685,0.021320026828804125,0.005249806445319584,0.0886689713768847
12,0.03190880100748435,0.020228162373430305,0.0040971609242428505,0.07810156428516224
13,0.050577794345704405,0.053787200472682435,0.006838107969137503,0.2077671421530447
14,0.050856023867818616,0.051580440103509186,0.0065535557444207655,0.19763441192417558
15,0.050261497379743655,0.050918893911426004,0.006258387819456535,0.19419230281788166
16,0.049598922786959224,0.05211628860542129,0.006350256356014744,0.19518192264418574
17,0.050187887463236755,0.04922859036504981,0.006649662339978672,0.18542645848655706
18,0.05020436754739984,0.05309284638545741,0.006677997635235108,0.1921357060129928
19,0.05005960702679465,0.051286031716354416,0.00584351068817429,0.19001448101132215
20,0.05179132724032256,0.05318780048659737,0.006124856391026502,0.20772817968817764
21,0.050396040464442224,0.0534058679566501,0.00659297595594925,0.19748641649224877
22,0.05336577743340891,0.05952203436798944,0.0063145558867148946,0.2179592709204379
23,0.050772664405366055,0.05454291797110993,0.005909576053519003,0.19172043762629473
24,0.0518249597985148,0.05679291811367168,0.006640683775939889,0.20584333940333532
25,0.049846891960985386,0.05176618473908175,0.006330870016890508,0.1818650300616611
26,0.05110795980152624,0.05552526422928535,0.006625700689732548,0.20227847517386813
27,0.051316121553333295,0.05292170990253619,0.006108953742444005,0.2079434324097482
28,0.050383143288594626,0.053253327302006645,0.00644728744093966,0.1834454569518287
29,0.050269399444704516,0.05286523580813694,0.006381904183137909,0.19055476510207608
30,0.05207855474036217,0.057129311949581985,0.006153783373067155,0.20789857908232606
31,0.05136312758043213,0.05722566925443327,0.006139451952080631,0.19062112324689268
32,0.04975192824389201,0.0493089860988028,0.006138492764499004,0.1812191105115206
33,0.051487697961370135,0.05625018610173761,0.005673821902928374,0.1948095459542703
34,0.0509129832594712,0.05393819235431977,0.006633357984348536,0.19494246689462397
35,0.05218551925591152,0.055882669523356666,0.006768445219152795,0.21796954419606895
36,0.05065295037432961,0.05342010343540992,0.006508609256554571,0.1970368927756471
37,0.050610445780590214,0.05546358388423083,0.006971849106265566,0.18979723015647904
38,0.050150060411534365,0.04932228382280049,0.006749682800328565,0.18677946528202827
39,0.04969348309904032,0.051930064925392955,0.006431637635638075,0.19128778818560746
40,0.048704429869817024,0.047584663368020065,0.0060932937449168735,0.16407118296390583
41,0.05124941023224404,0.0533640033448102,0.006806938099685586,0.20067646788575183
42,0.05091691008893804,0.053248764132404654,0.006399101500762993,0.19324449774538716
43,0.05179852274597824,0.0570973456697551,0.005940025832899647,0.21176952510771443
44,0.05165411430683567,0.05369450344000732,0.0065614532296440035,0.20116714553102835
45,0.050341975289756626,0.05386646605775256,0.006204085180653062,0.19814977787162552
46,0.04912891378418267,0.05383573494069418,0.00629482064872404,0.18792046987730363
47,0.049482100130676256,0.04877068722134639,0.006056078119892253,0.1739723134862853
48,0.10087210172455251,0.1141802115306027,0.021841244839621455,0.4878796308582477
49,0.09495535498026722,0.09663206521119921,0.021925706037338056,0.3745452381839156
50,0.10677459011177247,0.11640298652059401,0.023246421576394383,0.4631836023982326
51,0.06589247667715871,0.06468060762904242,0.014326450991048931,0.25606156993811396
52,0.059123092189369696,0.04986109053759103,0.015510934204345178,0.20454585899707903
53,0.03178775934790929,0.021302452223905786,0.0034264548041086397,0.08377735440528317
54,0.04307258576837872,0.032191570546631694,0.00822037519573825,0.1335505603223541
55,0.04938687927261849,0.036338069168663355,0.01133102433308204,0.1503851747826496
56,0.04310969106219035,0.031134282518686808,0.009115579943073649,0.12776657289741533
57,0.03539290716040726,0.021239427074559426,0.0065703717201043375,0.08723429801481329
58,0.03933701133467261,0.02588399474082876,0.007246984737906027,0.10200966352600381
59,0.03820753869204026,0.02659925954882861,0.006263900075812726,0.11312955111632077
60,0.037733599261967204,0.026228493466869326,0.006133572734518409,0.1012482210821084
61,0.03612218238375587,0.024920070050116372,0.005359208884111097,0.09428080786573174
62,0.050788479400123744,0.054273579139776776,0.006372668569050194,0.19763769203383377
63,0.05067303523167016,0.05032787742932108,0.006562498036502726,0.19481358107889474
64,0.05085756544574882,0.053471229115237294,0.006945290664622832,0.19153387806946
65,0.0503604305558771,0.054552101604282296,0.006171323624794174,0.19066726980149157
66,0.0506377480850101,0.055110061682864996,0.006264876558221203,0.19189613787540147
67,0.0494760480219978,0.05353635867175786,0.0065364210978015305,0.18544780785667844
68,0.05069032720849957,0.05465221976585704,0.006538243599678486,0.2049951067881497
69,0.05010739048401025,0.05235236635433458,0.006122757945384161,0.19335725488662509
70,0.05123373343105537,0.05766825068796903,0.006583333938644212,0.2038761000502765
71,0.05195781426856621,0.058056997640892276,0.006213961019741208,0.20805870074683414
72,0.05109804457993869,0.053369696903478384,0.006510815160159883,0.19301885923066117
73,0.051232722462653174,0.055152689511514606,0.006409834101597921,0.2050382016073746
74,0.0509292495983966,0.053914247300830886,0.0062441427844535415,0.199380497250066
75,0.05045119752306785,0.050242554547756745,0.0062579024170385565,0.18609860951476856
