grid_id,belief_damage_best,plausibility_damage_best,ds_damage_mid_best,uncertainty_ds_best,conflict_k_best
0,0.0005807777418141321,0.06062396560598106,0.030602371673897594,0.06004318786416692,0.0007192800000000001
1,0.04827684305771318,0.1336823320718231,0.09097958756476814,0.08540548901410991,0.2974690421819687
2,0.04822903471158209,0.13360910171941065,0.09091906821549636,0.08538006700782855,0.2972598628377915
3,0.044016865015412875,0.12715711799201362,0.08558699150371325,0.08314025297660076,0.2783279115486145
4,0.027873963440555392,0.10243025611636908,0.06515210977846224,0.07455629267581369,0.19523895506858827
5,0.013860432536665105,0.08096505412379418,0.04741274333022964,0.06710462158712907,0.10587380450248719
6,0.0005807777418141321,0.06062396560598106,0.030602371673897594,0.06004318786416692,0.0007192800000000001
7,0.0008031393945914711,0.06096456768728401,0.030883853540937742,0.06016142829269254,0.0026832523308321634
8,0.000747452400474788,0.060879269229295666,0.030813360814885227,0.06013181682882088,0.0021921311507373765
9,0.0012918852298127274,0.061713203284408324,0.03150254425711053,0.0604213180545956,0.006973003372997035
10,0.0009386907132529605,0.06117219818778986,0.031055444450521406,0.060233507474536895,0.003876703919917334
11,0.0008433797270096248,0.0610262057476364,0.03093479273732301,0.06018282602062677,0.0030378437291085614
12,0.0007481222102991193,0.06088029520934841,0.03081420870982376,0.060132172999049285,0.002198041289001699
13,0.0005807777418141321,0.06062396560598106,0.030602371673897594,0.06004318786416692,0.0007192800000000001
14,0.0005807777418141321,0.06062396560598106,0.030602371673897594,0.06004318786416692,0.0007192800000000001
15,0.0005807777418141321,0.06062396560598106,0.030602371673897594,0.06004318786416692,0.0007192800000000001
16,0.0005807777418141321,0.06062396560598106,0.030602371673897594,0.06004318786416692,0.0007192800000000001
17,0.0005807777418141321,0.06062396560598106,0.030602371673897594,0.06004318786416692,0.0007192800000000001
18,0.0005807777418141321,0.06062396560598106,0.030602371673897594,0.06004318786416692,0.0007192800000000001
19,0.45397650060981887,0.5321132198611833,0.4930448602355011,0.07813671925136446,0.23211518764972686
20,0.3641258453199982,0.4386769205750696,0.40140138294753386,0.07455107525507136,0.19518263425827026
21,0.2398355785249356,0.30942663821313243,0.27463110836903404,0.06959105968819686,0.13782028512239458
22,0.15105166260269312,0.21709964835261847,0.18407565547765578,0.06604798574992533,0.09156957144498823
23,0.19350917224491979,0.26125149749693505,0.2273803348709274,0.06774232525201525,0.11429081040859224
24,0.2054222261620949,0.2736399621956771,0.23953109417888602,0.0682177360335822,0.12046333565711974
25,0.16309932110196204,0.2296280892594052,0.19636370518068363,0.06652876815744316,0.09813451140403746
26,0.0971991650984754,0.16109807487629413,0.12914861998738475,0.06389890977781872,0.061016843501329396
27,0.1227945427830353,0.1877148798618733,0.1552547113224543,0.06492033707883801,0.07579038095355033
28,0.06527078813151255,0.1278955414458787,0.09658316478869562,0.06262475331436615,0.04191239366948602
29,0.095430234353787,0.1592585519263058,0.12734439314004642,0.0638283175725188,0.05997835628628728
30,0.14336594977160316,0.20910722401251236,0.17623658689205776,0.06574127424090918,0.08733135016322136
31,0.2119266811001196,0.28040398852717086,0.24616533481364525,0.06847730742705126,0.12379732418775559
32,0.0005807777418141321,0.06062396560598106,0.030602371673897594,0.06004318786416692,0.0007192800000000001
33,0.0005807777418141321,0.06062396560598106,0.030602371673897594,0.06004318786416692,0.0007192800000000001
34,0.08540020335476356,0.14882825539423447,0.11711422937449902,0.06342805203947091,0.054046308048963536
35,0.12858260763629722,0.19373392733762487,0.16115826748696105,0.06515131970132765,0.07906700470447542
36,0.10803316354514972,0.17236442255137263,0.1401987930482612,0.06433125900622293,0.06732744039416312
37,0.16437887098700885,0.23095870176996625,0.19766878637848756,0.06657983078295741,0.09882618663311005
38,0.2737258161017773,0.3446693236548048,0.30919756987829106,0.07094350755302747,0.1542566463160515
39,0.2409808016749573,0.3106175634506798,0.27579918256281855,0.06963676177572249,0.1383861272406578
40,0.14411890260230975,0.20989022471307817,0.17700456365769396,0.06577132211076842,0.08774830618500708
41,0.038035657476898986,0.09957354634486819,0.06880460191088358,0.0615378888679692,0.024990926667451837
42,0.06973638075906347,0.13253934118102634,0.1011378609700449,0.06280296042196287,0.04463102381050587
43,0.1366494301312795,0.20212267017425625,0.16938605015276786,0.06547324004297675,0.08359506936550139
44,0.151345031742503,0.21740472488945803,0.1843748783159805,0.06605969314695503,0.09173056758642197
45,0.1308580313547978,0.1961001557293796,0.1634790935420887,0.06524212437458181,0.0803487689101696
46,0.12530314542974225,0.19032359258557677,0.15781336900765952,0.06502044715583452,0.07721335941910741
47,0.0005807777418141321,0.06062396560598106,0.030602371673897594,0.06004318786416692,0.0007192800000000001
48,0.14640153285049431,0.21989280489950352,0.18314716887499893,0.07349127204900922,0.18357652103248795
49,0.17037591404592983,0.24452869217261247,0.20745230310927115,0.07415277812668263,0.19085971536365146
50,0.31432591391563186,0.38952583458931866,0.35192587425247523,0.0751999206736868,0.2021268179210384
51,0.29866728701715567,0.36992235372603793,0.3342948203715968,0.07125506670888228,0.1579546161238706
52,0.31261990211977364,0.384329775484528,0.3484748388021508,0.07170987336475436,0.1632951337843222
53,0.2639461445766748,0.3344828656694203,0.29921450512304754,0.07053672109274547,0.14937923013023588
54,0.32339708714850435,0.39606600528514174,0.359731546216823,0.0726689181366374,0.1743375085454884
55,0.41160822057488416,0.48709499165029385,0.449351606112589,0.07548677107540969,0.20515874311193874
56,0.4824751283881471,0.560936886998956,0.5217060076935516,0.078461758610809,0.2352962632711841
57,0.4754157295299992,0.5541654790920274,0.5147906043110133,0.07874974956202824,0.2380928151048883
58,0.513675842928747,0.5937473154320146,0.5537115791803808,0.08007147250326764,0.2506694566213773
59,0.001071160852417615,0.061375109096871626,0.031223134974644618,0.06030394824445401,0.005040271048620322
60,0.5413082643101752,0.622567795126605,0.5819380297183901,0.08125953081642982,0.26162507465685964
61,0.5418199669314835,0.6231774467686572,0.5824987068500703,0.0813574798371737,0.26251402919458544
62,0.5009325837703086,0.5809431657901833,0.540937874780246,0.0800105820198748,0.250099193315506
63,0.4304754696542092,0.5076743400909949,0.46907490487260206,0.07719887043678575,0.22278655554771426
64,0.43546194178767483,0.5128598059191685,0.47416087385342165,0.0773978641314936,0.2247848093318939
65,0.45652858457055495,0.5347671490950823,0.4956478668328186,0.07823856452452728,0.233114764251709
66,0.4331817866960566,0.5104886573407637,0.4718352220184101,0.07730687064470704,0.22387234796047212
67,0.3576039277192251,0.43189473470341855,0.39474933121132183,0.07429080698419342,0.19236306030750275
68,0.23325866142734067,0.30258725799571895,0.2679229597115298,0.06932859656837828,0.1345562586021423
69,0.17631925523117237,0.24337558745911556,0.20984742134514395,0.06705633222794319,0.1052299163031578
70,0.20957798755479687,0.2779615663509021,0.24376977695284946,0.06838357879610521,0.12259637392044069
71,0.23063689146386296,0.2998608618200129,0.26524887664193797,0.06922397035614998,0.13324821313619614
72,0.1914486024742057,0.25910869716703944,0.22527864982062257,0.06766009469283377,0.1132143655371666
73,0.0961543559815143,0.16001157086545137,0.12808296342348285,0.06385721488393709,0.060403744368553156
74,0.1688564029026898,0.23561491725094663,0.2022356600768182,0.06675851434825682,0.10123823776245118
75,0.21944584524918262,0.28822321777538384,0.25383453151228325,0.06877737252620122,0.12762006171226503
76,0.1587695034673096,0.22512548285035083,0.19194749315883022,0.06635597938304126,0.09578608351707459
77,0.15950848306858473,0.22589395269587795,0.19270121788223132,0.06638546962729322,0.09618776010990145
78,0.16118333635236087,0.22763564386305374,0.1944094901077073,0.06645230751069287,0.09709681653499602
79,0.27651328761151867,0.34756803398023983,0.3120406607958792,0.07105474636872117,0.15558068860530852
80,0.12239449565878578,0.18729886817326227,0.15484668191602402,0.06490437251447649,0.07556305260300633
81,0.08885179156015109,0.1524175851273427,0.12063468834374688,0.0635657935671916,0.056096107152700386
82,0.10420700232566073,0.16838557182771413,0.13629628707668742,0.06417856950205339,0.0651084861266613
83,0.11593034869704909,0.18057675837675555,0.1482535535369023,0.06464640967970646,0.071874210845232
84,0.2031232333119482,0.27124922410578717,0.23718622870886769,0.06812599079383898,0.11927886404514314
85,0.3010385513135284,0.37307202025546804,0.3370552857844982,0.07203346894193961,0.1670538586950302
86,0.24976269126847275,0.3197499093607967,0.2847563003146347,0.06998721809232394,0.14270060111761093
87,0.14528127630770524,0.21109898492822982,0.17819013061796754,0.06581770862052459,0.0883912360739708
88,0.060563632875023164,0.12300053911214087,0.09178208599358201,0.0624369062371177,0.03902990048646924
89,0.09171508494243633,0.15539514312676067,0.12355511403459848,0.06368005818432433,0.057789805619716646
90,0.1344331699318532,0.19981796632294269,0.16712556812739793,0.06538479639108948,0.08235548152327536
91,0.1512453182739319,0.21730103218446647,0.18427317522919917,0.06605571391053458,0.0916758528828621
92,0.14695558980285392,0.21284011476559023,0.1798978522842221,0.06588452496273632,0.08931573789238931
93,0.1316202626845918,0.1968928052034002,0.164256533943996,0.06527254251880842,0.08077734243750571
94,0.035240629499950736,0.09666697799848481,0.06595380374921778,0.06142634849853407,0.023220467004775987
95,0.027035709435843647,0.0881346265731591,0.05758516800450138,0.06109891713731545,0.01798586928874253
96,0.05584130564658472,0.11864363375522116,0.08724246970090294,0.06280232810863645,0.04462140485921095
97,0.1754929907397888,0.24445918894810212,0.20997608984394545,0.06896619820831332,0.1300085903130518
98,0.2855940775566591,0.3569665480290311,0.3212803127928451,0.071372470472372,0.15933973417347586
99,0.2798487462160121,0.35102808145205816,0.31543841383403515,0.07117933523604608,0.15705871934562182
100,0.2762072313524391,0.34705277531638895,0.31163000333441404,0.07084554396394989,0.1530871718547141
101,0.6022334461107837,0.6741195517345675,0.6381764989226756,0.07188610562378385,0.16534635616498464
102,0.596782352926997,0.6723713057420138,0.6345768293345054,0.0755889528150168,0.2062332157605954
103,0.5125072325169144,0.5927949775137973,0.5526511050153559,0.08028774499688286,0.25268794132492495
104,0.5217659512457716,0.6022998529978484,0.56203290212181,0.08053390175207677,0.25497214595773965
105,0.5341382899120121,0.6148037504293029,0.5744710201706574,0.0806654605172908,0.2561872254217297
106,0.5534110493431766,0.6339846972993606,0.5936978733212686,0.08057364795618392,0.2553396610188473
107,0.5444377317041404,0.6257788022325546,0.5851082669683475,0.08134107052841412,0.262365252753334
108,0.5239952050788227,0.604926140426861,0.5644606727528418,0.08093093534803826,0.258627127661705
109,0.428295560135496,0.5054074375564488,0.4668514988459724,0.07711187742095271,0.22190974974632266
110,0.42186915012343945,0.4987245706671093,0.46029686039527434,0.07685542054366983,0.21931336039066315
111,0.41731096743705126,0.4939844859085466,0.4556477266727989,0.07667351847149532,0.21746124090671543
112,0.3790889068253409,0.45423710862867994,0.4166630077270104,0.075148201803339,0.2015777016592026
113,0.3282013304165706,0.401318776492559,0.3647600534545648,0.07311744607598833,0.17940241050481795
114,0.25944732980750895,0.3298210299563271,0.29463417988191803,0.07037370014881818,0.14740876388311383
115,0.2427674064188344,0.3124754657110076,0.277621436064921,0.06970805929217319,0.13926738731145857
116,0.2558483842422894,0.3260784623160399,0.29096342327916463,0.0702300780737505,0.14566519580125808
117,0.21714307365084834,0.2858285501399003,0.25148581189537433,0.06868547648905193,0.12645288251638415
118,0.18906960707926865,0.25663476389404744,0.22285218548665803,0.06756515681477879,0.11196831579208372
119,0.1562254544575253,0.22247990921585697,0.18935268183669116,0.06625445475833168,0.09440051663160325
120,0.2666856766239985,0.33734823537626163,0.30201695600013007,0.07066255875226314,0.150894036962986
121,0.2819591718159711,0.35323124550344376,0.3175952086597074,0.07127207368747267,0.15815554542303087
122,0.18450121298023478,0.25188406021896137,0.21819263659959806,0.06738284723872656,0.10956567644834518
123,0.14803819326425152,0.2139659213687925,0.181002057316522,0.06592772810454096,0.08991251898050305
124,0.17616998783628385,0.24322036329366595,0.2096951755649749,0.0670503754573821,0.10515042472600937
125,0.30640494420546516,0.3786525682294424,0.34252875621745377,0.0722476240239772,0.1695228623700142
126,0.15821458773943145,0.2245484222617402,0.19138150500058584,0.06633383452230877,0.09548422110557557
127,0.1922058564269856,0.25989617063330755,0.2260510135301466,0.06769031420632197,0.11361026014566421
128,0.23165896404289468,0.3009237219525128,0.26629134299770374,0.06926475790961813,0.13375861244916917
129,0.16684362278623413,0.2335218137031576,0.20018271824469586,0.06667819091692348,0.10015555048942566
130,0.11959565727260602,0.1843883373567532,0.1519919973146796,0.0647926800841472,0.07396946812391282
131,0.12527482563187806,0.19029414263776695,0.15778448413482252,0.06501931700588891,0.07719731976628302
132,0.11676749395410889,0.1814473113463726,0.14910740265024075,0.0646798173922637,0.07235359623670577
133,0.08354030603285746,0.14689413569026,0.11521722086155874,0.06335382965740255,0.05293807297110557
134,0.04417434297948903,0.10595720658633459,0.0750657747829118,0.06178286360684556,0.028856927354335773
135,0.07090430524539193,0.133753873690513,0.10232908946795247,0.06284956844512106,0.04533950694680213
136,0.1359348103195855,0.20137953223735583,0.16865717127847066,0.06544472191777034,0.08319573768854138
137,0.11539480082613823,0.18001983855255327,0.14770731968934575,0.06462503772641502,0.07156727313637733
138,0.07725581272720443,0.1403588489360954,0.10880733083164992,0.06310303620889098,0.04917411895394322
139,0.1074431901340779,0.17175090524279046,0.13959704768843417,0.06430771510871257,0.0669859767436981
140,0.1527805906851202,0.22186415965891704,0.1873223751720186,0.06908356897379683,0.13148667778357276
141,0.05396835678577031,0.11916795770150088,0.08656815724363559,0.06519960091573057,0.07974896844002148
142,0.04434940567345499,0.11081281254491598,0.07758110910918548,0.06646340687146099,0.09724760098381824
143,0.05077308992410876,0.11305201126420632,0.08191255059415754,0.062278921340097555,0.03659217743436273
144,0.18215777777354378,0.24944710622431637,0.2158024419989301,0.06728932845077261,0.10832814977645873
145,0.3293588431948292,0.4023796963636099,0.3658692697792196,0.07302085316878067,0.17831691364498622
146,0.3837393413538001,0.45686450499378317,0.42030192317379167,0.07312516363998306,0.1794890156362885
147,0.4734999949921811,0.549830459779313,0.511665227385747,0.07633046478713193,0.21394425977457165
148,0.5287796455815976,0.6098341931970684,0.569306919389333,0.08105454761547078,0.2597577586313262
149,0.5275492204222124,0.6083670141877618,0.5679581173049871,0.08081779376554941,0.2575892361766442
150,0.5333327322078552,0.6143715009954355,0.5738521166016453,0.08103876878758029,0.25961362817255235
151,0.5151462048971018,0.5950934801755172,0.5551198425363095,0.0799472752784154,0.24950537975120826
152,0.5275035094675535,0.6076351528713225,0.567569331169438,0.08013164340376898,0.25123212938900114
153,0.5297130212419997,0.6105332848152221,0.5701231530286108,0.08082026357322232,0.25761192370227043
154,0.536138168543016,0.6169160178551844,0.5765270931991001,0.08077784931216832,0.25722211582870624
155,0.44872345280405984,0.5266505402028107,0.4876869965034352,0.07792708739875077,0.23004949879646305
156,0.42914145895293954,0.5062870934122405,0.46771427618259004,0.077145634459301,0.22225022296428684
157,0.4094261617907862,0.4857850236141327,0.4476055927024595,0.07635886182334652,0.21423658541679383
158,0.34722200017416033,0.4210984985920797,0.38416024938312,0.07387649841791935,0.18783373217582705
159,0.29905071266257904,0.371004853505003,0.33502778308379105,0.07195414084242398,0.16613555109500885
160,0.2877334669221694,0.35923597372683613,0.32348472032450276,0.07150250680466676,0.16086858095884324
161,0.32797880568330173,0.40108737152940976,0.36453308860635575,0.073108565846108,0.1793027355194092
162,0.30877285836968843,0.38111497805626593,0.3449439182129772,0.07234211968657753,0.17060765899658203
163,0.2113730664262457,0.27982828091334866,0.24560067366979715,0.06845521448710293,0.12351454232454298
164,0.21603612162832408,0.2846774233046165,0.2503567724664703,0.06864130167629241,0.12589070232152938
