path,filename,extension,size_mb,parent_folder,detected_sensor,detected_product_type,detected_date,detected_tile,detected_role,notes
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\IMG_DATA\R60m\T37TCN_20210523T082601_SCL_60m.jp2,T37TCN_20210523T082601_SCL_60m.jp2,.jp2,0.6567,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\IMG_DATA\R60m,Sentinel-2,L2A_SCL,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\IMG_DATA\R60m\T37TCN_20210523T082601_TCI_60m.jp2,T37TCN_20210523T082601_TCI_60m.jp2,.jp2,3.5913,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\IMG_DATA\R60m,Sentinel-2,L2A_TCI,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\IMG_DATA\R60m\T37TCN_20210523T082601_WVP_60m.jp2,T37TCN_20210523T082601_WVP_60m.jp2,.jp2,3.5914,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\IMG_DATA\R60m,Sentinel-2,L2A_WVP,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\FORMAT_CORRECTNESS.xml,FORMAT_CORRECTNESS.xml,.xml,0.0076,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A_metadata,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\GENERAL_QUALITY.xml,GENERAL_QUALITY.xml,.xml,0.0039,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A_metadata,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\GEOMETRIC_QUALITY.xml,GEOMETRIC_QUALITY.xml,.xml,0.0047,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A_metadata,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\L2A_QUALITY.xml,L2A_QUALITY.xml,.xml,0.0077,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A_metadata,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_CLASSI_B00.jp2,MSK_CLASSI_B00.jp2,.jp2,0.0278,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_CLDPRB_20m.jp2,MSK_CLDPRB_20m.jp2,.jp2,4.1857,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_CLDPRB_60m.jp2,MSK_CLDPRB_60m.jp2,.jp2,0.7494,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_DETFOO_B01.jp2,MSK_DETFOO_B01.jp2,.jp2,0.016,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_DETFOO_B02.jp2,MSK_DETFOO_B02.jp2,.jp2,0.0686,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_DETFOO_B03.jp2,MSK_DETFOO_B03.jp2,.jp2,0.0687,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_DETFOO_B04.jp2,MSK_DETFOO_B04.jp2,.jp2,0.0687,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_DETFOO_B05.jp2,MSK_DETFOO_B05.jp2,.jp2,0.0283,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_DETFOO_B06.jp2,MSK_DETFOO_B06.jp2,.jp2,0.0283,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_DETFOO_B07.jp2,MSK_DETFOO_B07.jp2,.jp2,0.0284,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_DETFOO_B08.jp2,MSK_DETFOO_B08.jp2,.jp2,0.0688,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_DETFOO_B09.jp2,MSK_DETFOO_B09.jp2,.jp2,0.0159,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_DETFOO_B10.jp2,MSK_DETFOO_B10.jp2,.jp2,0.0159,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_DETFOO_B11.jp2,MSK_DETFOO_B11.jp2,.jp2,0.0283,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_DETFOO_B12.jp2,MSK_DETFOO_B12.jp2,.jp2,0.0283,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_DETFOO_B8A.jp2,MSK_DETFOO_B8A.jp2,.jp2,0.0283,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_QUALIT_B01.jp2,MSK_QUALIT_B01.jp2,.jp2,0.0141,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_QUALIT_B02.jp2,MSK_QUALIT_B02.jp2,.jp2,0.0541,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_QUALIT_B03.jp2,MSK_QUALIT_B03.jp2,.jp2,0.0541,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_QUALIT_B04.jp2,MSK_QUALIT_B04.jp2,.jp2,0.0541,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_QUALIT_B05.jp2,MSK_QUALIT_B05.jp2,.jp2,0.0134,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_QUALIT_B06.jp2,MSK_QUALIT_B06.jp2,.jp2,0.0134,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_QUALIT_B07.jp2,MSK_QUALIT_B07.jp2,.jp2,0.0134,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_QUALIT_B08.jp2,MSK_QUALIT_B08.jp2,.jp2,0.0543,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_QUALIT_B09.jp2,MSK_QUALIT_B09.jp2,.jp2,0.0141,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_QUALIT_B10.jp2,MSK_QUALIT_B10.jp2,.jp2,0.0141,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_QUALIT_B11.jp2,MSK_QUALIT_B11.jp2,.jp2,0.0137,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_QUALIT_B12.jp2,MSK_QUALIT_B12.jp2,.jp2,0.0137,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_QUALIT_B8A.jp2,MSK_QUALIT_B8A.jp2,.jp2,0.0134,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_SNWPRB_20m.jp2,MSK_SNWPRB_20m.jp2,.jp2,0.0231,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\MSK_SNWPRB_60m.jp2,MSK_SNWPRB_60m.jp2,.jp2,0.0127,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\SENSOR_QUALITY.xml,SENSOR_QUALITY.xml,.xml,0.0031,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A_metadata,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA\T37TCN_20210523T082601_PVI.jp2,T37TCN_20210523T082601_PVI.jp2,.jp2,0.1587,原始数据\Sentinel-2\战前1（2021.5）\GRANULE\L2A_T37TCN_A030906_20210523T083300\QI_DATA,Sentinel-2,L2A,20210523,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\HTML\banner_1.png,banner_1.png,.png,0.0404,原始数据\Sentinel-2\战前1（2021.5）\HTML,Sentinel-2,L2A_support,unknown,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\HTML\banner_2.png,banner_2.png,.png,0.0559,原始数据\Sentinel-2\战前1（2021.5）\HTML,Sentinel-2,L2A_support,unknown,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\HTML\banner_3.png,banner_3.png,.png,0.0427,原始数据\Sentinel-2\战前1（2021.5）\HTML,Sentinel-2,L2A_support,unknown,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\HTML\star_bg.jpg,star_bg.jpg,.jpg,0.0018,原始数据\Sentinel-2\战前1（2021.5）\HTML,Sentinel-2,L2A_support,unknown,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\HTML\UserProduct_index.html,UserProduct_index.html,.html,0.008,原始数据\Sentinel-2\战前1（2021.5）\HTML,Sentinel-2,L2A_support,unknown,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\HTML\UserProduct_index.xsl,UserProduct_index.xsl,.xsl,0.0096,原始数据\Sentinel-2\战前1（2021.5）\HTML,Sentinel-2,L2A_support,unknown,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\rep_info\S2_PDI_Level-2A_Datastrip_Metadata.xsd,S2_PDI_Level-2A_Datastrip_Metadata.xsd,.xsd,0.0013,原始数据\Sentinel-2\战前1（2021.5）\rep_info,Sentinel-2,L2A_support,unknown,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\rep_info\S2_PDI_Level-2A_Tile_Metadata.xsd,S2_PDI_Level-2A_Tile_Metadata.xsd,.xsd,0.0009,原始数据\Sentinel-2\战前1（2021.5）\rep_info,Sentinel-2,L2A_support,unknown,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前1（2021.5）\rep_info\S2_User_Product_Level-2A_Metadata.xsd,S2_User_Product_Level-2A_Metadata.xsd,.xsd,0.001,原始数据\Sentinel-2\战前1（2021.5）\rep_info,Sentinel-2,L2A_support,unknown,unknown,main_pre_20210523_T37TCN,
原始数据\Sentinel-2\战前2（2021.5）\INSPIRE.xml,INSPIRE.xml,.xml,0.0178,原始数据\Sentinel-2\战前2（2021.5）,Sentinel-2,L2A_metadata,unknown,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\manifest.safe,manifest.safe,.safe,0.0657,原始数据\Sentinel-2\战前2（2021.5）,Sentinel-2,L2A_support,unknown,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\MTD_MSIL2A.xml,MTD_MSIL2A.xml,.xml,0.053,原始数据\Sentinel-2\战前2（2021.5）,Sentinel-2,L2A_metadata,unknown,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\S2A_MSIL2A_20210523T082601_N0500_R021_T37TDN_20230225T185104-ql.jpg,S2A_MSIL2A_20210523T082601_N0500_R021_T37TDN_20230225T185104-ql.jpg,.jpg,0.0272,原始数据\Sentinel-2\战前2（2021.5）,Sentinel-2,L2A_support,20210523,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\DATASTRIP\DS_S2RP_20230225T185104_S20210523T083300\MTD_DS.xml,MTD_DS.xml,.xml,32.603,原始数据\Sentinel-2\战前2（2021.5）\DATASTRIP\DS_S2RP_20230225T185104_S20210523T083300,Sentinel-2,L2A_metadata,20230225,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\DATASTRIP\DS_S2RP_20230225T185104_S20210523T083300\QI_DATA\FORMAT_CORRECTNESS.xml,FORMAT_CORRECTNESS.xml,.xml,0.0039,原始数据\Sentinel-2\战前2（2021.5）\DATASTRIP\DS_S2RP_20230225T185104_S20210523T083300\QI_DATA,Sentinel-2,L2A_metadata,20230225,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\DATASTRIP\DS_S2RP_20230225T185104_S20210523T083300\QI_DATA\GENERAL_QUALITY.xml,GENERAL_QUALITY.xml,.xml,0.0056,原始数据\Sentinel-2\战前2（2021.5）\DATASTRIP\DS_S2RP_20230225T185104_S20210523T083300\QI_DATA,Sentinel-2,L2A_metadata,20230225,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\DATASTRIP\DS_S2RP_20230225T185104_S20210523T083300\QI_DATA\GEOMETRIC_QUALITY.xml,GEOMETRIC_QUALITY.xml,.xml,0.0079,原始数据\Sentinel-2\战前2（2021.5）\DATASTRIP\DS_S2RP_20230225T185104_S20210523T083300\QI_DATA,Sentinel-2,L2A_metadata,20230225,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\DATASTRIP\DS_S2RP_20230225T185104_S20210523T083300\QI_DATA\RADIOMETRIC_QUALITY.xml,RADIOMETRIC_QUALITY.xml,.xml,0.0069,原始数据\Sentinel-2\战前2（2021.5）\DATASTRIP\DS_S2RP_20230225T185104_S20210523T083300\QI_DATA,Sentinel-2,L2A_metadata,20230225,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\DATASTRIP\DS_S2RP_20230225T185104_S20210523T083300\QI_DATA\SENSOR_QUALITY.xml,SENSOR_QUALITY.xml,.xml,0.0043,原始数据\Sentinel-2\战前2（2021.5）\DATASTRIP\DS_S2RP_20230225T185104_S20210523T083300\QI_DATA,Sentinel-2,L2A_metadata,20230225,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\MTD_TL.xml,MTD_TL.xml,.xml,0.5973,原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300,Sentinel-2,L2A_metadata,20210523,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\AUX_DATA\AUX_CAMSRE,AUX_CAMSRE,(none),0.0028,原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\AUX_DATA,Sentinel-2,L2A_support,20210523,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\AUX_DATA\AUX_ECMWFT,AUX_ECMWFT,(none),0.0015,原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\AUX_DATA,Sentinel-2,L2A_support,20210523,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R10m\T37TDN_20210523T082601_AOT_10m.jp2,T37TDN_20210523T082601_AOT_10m.jp2,.jp2,0.5582,原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R10m,Sentinel-2,L2A_AOT,20210523,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R10m\T37TDN_20210523T082601_B02_10m.jp2,T37TDN_20210523T082601_B02_10m.jp2,.jp2,92.79,原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R10m,Sentinel-2,L2A_B02,20210523,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R10m\T37TDN_20210523T082601_B03_10m.jp2,T37TDN_20210523T082601_B03_10m.jp2,.jp2,92.1575,原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R10m,Sentinel-2,L2A_B03,20210523,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R10m\T37TDN_20210523T082601_B04_10m.jp2,T37TDN_20210523T082601_B04_10m.jp2,.jp2,92.5451,原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R10m,Sentinel-2,L2A_B04,20210523,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R10m\T37TDN_20210523T082601_B08_10m.jp2,T37TDN_20210523T082601_B08_10m.jp2,.jp2,111.4365,原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R10m,Sentinel-2,L2A_B08,20210523,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R10m\T37TDN_20210523T082601_TCI_10m.jp2,T37TDN_20210523T082601_TCI_10m.jp2,.jp2,123.7196,原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R10m,Sentinel-2,L2A_TCI,20210523,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R10m\T37TDN_20210523T082601_WVP_10m.jp2,T37TDN_20210523T082601_WVP_10m.jp2,.jp2,65.8953,原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R10m,Sentinel-2,L2A_WVP,20210523,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R20m\T37TDN_20210523T082601_AOT_20m.jp2,T37TDN_20210523T082601_AOT_20m.jp2,.jp2,0.4868,原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R20m,Sentinel-2,L2A_AOT,20210523,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R20m\T37TDN_20210523T082601_B01_20m.jp2,T37TDN_20210523T082601_B01_20m.jp2,.jp2,14.9649,原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R20m,Sentinel-2,L2A_B01,20210523,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R20m\T37TDN_20210523T082601_B02_20m.jp2,T37TDN_20210523T082601_B02_20m.jp2,.jp2,25.7975,原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R20m,Sentinel-2,L2A_B02,20210523,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R20m\T37TDN_20210523T082601_B03_20m.jp2,T37TDN_20210523T082601_B03_20m.jp2,.jp2,26.0595,原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R20m,Sentinel-2,L2A_B03,20210523,unknown,main_pre_20210523_T37TDN,
原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R20m\T37TDN_20210523T082601_B04_20m.jp2,T37TDN_20210523T082601_B04_20m.jp2,.jp2,26.7823,原始数据\Sentinel-2\战前2（2021.5）\GRANULE\L2A_T37TDN_A030906_20210523T083300\IMG_DATA\R20m,Sentinel-2,L2A_B04,20210523,unknown,main_pre_20210523_T37TDN,
