safe_name,expected_role,exists,structure_ok,manifest_safe,measurement_dir,annotation_dir,annotation_cal_dir,has_rfi,measurement_files,satellite,mode,product_type_s1,acquisition_date,polarization,notes
S1A_IW_GRDH_1SDV_20210601T033952_20210601T034017_038141_048069_5417.SAFE,s1_grd_pre_20210601,True,True,True,True,True,True,False,s1a-iw-grd-vh-20210601t033952-20210601t034017-038141-048069-002.tiff; s1a-iw-grd-vv-20210601t033952-20210601t034017-038141-048069-001.tiff,S1A,IW,GRDH,20210601,1SDV,GRDH 后向散射幅度产品，可用于 Sentinel-1 GRD 后向散射变化检测模块
S1A_IW_GRDH_1SDV_20220616T152025_20220616T152050_043690_053749_2778.SAFE,s1_grd_post_20220616,True,True,True,True,True,True,True,s1a-iw-grd-vh-20220616t152025-20220616t152050-043690-053749-002.tiff; s1a-iw-grd-vv-20220616t152025-20220616t152050-043690-053749-001.tiff,S1A,IW,GRDH,20220616,1SDV,GRDH 后向散射幅度产品，可用于 Sentinel-1 GRD 后向散射变化检测模块
