model,mu_post_mean,tau_post_mean,p_mean_range,p_mean_mean,p_range_width,rhat_max,divergences
both,-1.6954837968802259,0.06291124466455669,"[0.1509, 0.1567]",0.1554083060206598,0.005761989443039267,1.01,1
s2_only,-2.68703879939857,1.0963175451341436,"[0.0249, 0.2452]",0.11975777356834424,0.22029503749125576,1.21,264
viirs_only,0.03681601882585626,0.4023015412691991,"[0.3531, 0.5627]",0.5077826786371572,0.20963151485017512,1.18,42
