grid_id,resid_s2,resid_viirs,theta_mean
0,,,-1.6958500462986508
1,4.95952840538392,,-1.690339175905274
2,4.956627678135344,,-1.6915016810806758
3,4.62530187334638,,-1.6911129000809555
4,3.56900417199925,,-1.6939564007861931
5,2.5215507442936747,,-1.6941443172521455
6,-4.181392229755355,,-1.7004040930609385
7,-1.6336166980224105,,-1.696051863450101
8,-1.8716958811412288,,-1.6968358091786355
9,-0.5768111031300136,,-1.694697250226573
10,-1.2141348350826702,,-1.6976286241749559
11,-1.49054276368937,,-1.6960881092256341
12,-1.8683841849143459,,-1.696910335749009
13,,,-1.6953555144708836
14,,,-1.6954564469311
15,,,-1.6952922866481226
16,,,-1.6937520786514078
17,,,-1.6937124240593686
18,,,-1.6961970390696401
19,,0.5842047588711008,-1.6918121095894807
20,,0.158845949741466,-1.6943857220439675
21,,-0.48434839058058465,-1.6991595135662771
22,,-1.0795458961067648,-1.703521988628169
23,,-0.7707375348446134,-1.7013315739750892
24,,-0.6944528238450873,-1.6993751209400239
25,,-0.985115002357924,-1.7036543335990522
26,,-1.5907780545526722,-1.7081499000456426
27,,-1.323107224262049,-1.707105226242038
28,,-2.027153324286805,-1.7120639657939878
29,,-1.6113565318760021,-1.708311921214471
30,,-1.1414148747138981,-1.7049205216045653
31,,-0.650717096922756,-1.7016923143612837
32,,,-1.693740761844322
33,,,-1.6952600672239941
34,,-1.734886545430072,-1.7091898595394042
35,,-1.2706404406435838,-1.7054393139055484
36,,-1.472125243880697,-1.7064698457714313
37,,-0.9757880849967377,-1.7032834899471323
38,,-0.29445558240076314,-1.6991194063731032
39,,-0.4769458913009556,-1.6998998886236443
40,,-1.1356618029054992,-1.7043585096511074
41,,-2.5991216531978214,-1.7149359395900177
42,,-1.9559212891712927,-1.7113274593639773
43,,-1.1985070464328098,-1.7053658196346297
44,,-1.075906991052607,-1.7047965719020488
45,,-1.2500304243700135,-1.705316403126803
46,,-1.300267388534667,-1.7062302532243159
47,,,-1.6944544262743941
48,3.4656734764709376,-1.8433124222354613,-1.7060143956376252
49,3.5876895573187797,-1.6739532835544972,-1.7059645121437663
50,4.008087865714122,-0.8984880038974501,-1.6970971706961395
51,2.028176592341948,-0.4230865677907901,-1.6984811476118327
52,1.4785759436329244,-0.25987949449794223,-1.6956314911874315
53,-1.9605834724360638,-0.3537208930668527,-1.6981264313048359
54,-0.1412276456245234,-0.07494425321827987,-1.6967236127892544
55,0.6130627773955979,0.30643324023752533,-1.6923811623137563
56,0.07828413408881696,0.6725546395245552,-1.6912089326638977
57,-1.0929756457973157,0.67183193552622,-1.6909951882886756
58,-0.6412920618176692,0.8475701276757279,-1.6891527358626832
59,-0.9240459632406237,,-1.6986096541358155
60,-0.9310055312228638,0.9931678982764827,-1.6891846335779994
61,-1.1565241268719149,1.0010434439505922,-1.6905405222642247
62,,0.8101352963271311,-1.690993280623147
63,,0.47194470855611936,-1.6912363408425315
64,,0.4968881034140311,-1.6925269056245222
65,,0.5958335014891286,-1.6912678837599109
66,,0.48669695041182115,-1.6931532608003472
67,,0.12790767480854473,-1.6950251114985988
68,,-0.5214143012264548,-1.700732858105435
69,,-0.8880567548777842,-1.7031480104912189
70,,-0.6675954911529739,-1.6996700352185143
71,,-0.537866674363404,-1.6998701093988733
72,,-0.7861312320923106,-1.699808830446916
73,,-1.6028143972844526,-1.7083236345872221
74,,-0.9450039288787423,-1.7005754272190097
75,,-0.6047496001418381,-1.7008189732526038
76,,-1.0164497249645021,-1.7055719124213804
77,,-1.0140316765487905,-1.702265994972624
78,,-1.0008623790572917,-1.7025371257219595
79,,-0.279682129620476,-1.6988586496234752
80,,-1.3292288930746639,-1.7048024139307558
81,,-1.691258499264708,-1.7086175300399387
82,,-1.5128643193180478,-1.7069893533449474
83,,-1.3900323313126879,-1.7071963900983276
84,,-0.7078803226810454,-1.7007987442667478
85,,-0.15103164392118668,-1.6983309356567524
86,,-0.4266090447508646,-1.6997642042513708
