subset,n_total,n_both,spearman_r,spearman_p,pearson_r,pearson_p,p_s2_mean,p_s2_median,p_viirs_mean,p_viirs_median,p_fused_mean,p_fused_median,disagreement_mean,disagreement_median,uncertainty_mean,uncertainty_median
01_full_aoi,1380,1053,-0.4216173249153264,1.246435433989844e-46,-0.42359816156502866,4.250880993394075e-47,0.10272977994467034,0.0323313772678375,0.5101534772652557,0.5542105734348297,0.22766481205456396,0.1988782482102852,0.47015804351533996,0.5474953576922417,0.40589394216735253,0.39287390122190113
02_urban_core,641,487,-0.25996868799719414,5.791291471072374e-09,-0.4597182071575295,7.74027048197202e-27,0.05689094404604891,0.02482954319566485,0.6274232946662389,0.6903758645057678,0.24038889122719448,0.2035760254802519,0.6173295366615573,0.6729833004064858,0.4843651779218797,0.5651741050183773
03_city_industrial,1107,815,-0.28548621736163476,9.475153711675816e-17,-0.35792307318855854,4.867595805645855e-26,0.07477260372534297,0.0267806220799684,0.5460717297335234,0.6092548668384552,0.22757599764423148,0.19659453046869024,0.5317597184005485,0.6263783760368824,0.4318395477393974,0.4498509735202789
04_quality_s2_ratio_0.5,981,981,-0.4197780761416541,3.737828320906139e-43,-0.419107995790841,5.227780791776824e-43,0.1083730593423709,0.0346149578690528,0.5293256451473567,0.6039510369300842,0.2107270035584869,0.1932097064378673,0.45932135038999317,0.5223065763711929,0.43897611861920477,0.4861311446875333
05_quality_s2_ratio_0.7,928,928,-0.42294780553046474,1.4427509007922353e-41,-0.42778164756696313,1.3955546691731406e-42,0.10918364656553309,0.03463286906480785,0.5325341420208007,0.6065831184387207,0.2124026806406119,0.19478634127137576,0.4612379215645456,0.5324162393808365,0.43735121047630715,0.48688958741307253
06_quality_both_ratio_0.7,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
07_prewar_bright_loss_rate_proxy,526,526,-0.22976082509468143,9.907928118611529e-08,-0.3369207502090326,1.9867477364309178e-15,0.04225318318457753,0.0219817869365215,0.6969211542334394,0.7069323360919952,0.20241582784870335,0.18573691862070202,0.6551278505723095,0.6815432603470981,0.5870590771496661,0.5938452491080761
08_prewar_very_bright_lr_gt_0.8,524,524,-0.22312761935627493,2.4612343461209285e-07,-0.3272708308340654,1.5138562916798546e-14,0.041721367011937974,0.0219407603144645,0.6972351011656622,0.7070143520832062,0.2019175608736631,0.18545105495291847,0.6559753689425286,0.6819190736860037,0.5876054179624619,0.5939857523422688
09_high_uncertainty_top10pct,106,106,-0.10629550334691049,0.27815246512430297,-0.08991823768742224,0.3593277530569643,0.015741482917944208,0.01192950364202255,0.7027133562654819,0.7125190794467926,0.14871007964025565,0.1482435788383207,0.6869718733475376,0.6993621485307813,0.6684652765865733,0.6627554090156642
