parameter,mean,median,sd,ci_2_5,ci_97_5,r_hat
mu,-1.6954837968802259,-1.6952591016974492,0.04203417416905048,-1.780927240785039,-1.6130012390321748,1.0
tau,0.06291124466455669,0.053401868539157786,0.04652240545471588,0.003562319318535164,0.1719049855724792,1.0
sigma_s2,2.684945361702524,2.683598449498872,0.05860227369012643,2.575255624895625,2.803079292359721,1.0
sigma_viirs,0.9036852579528052,0.9039247983920816,0.01826362974180028,0.8691207474037387,0.940014825330216,1.0
delta_s2,-1.7049779872605335,-1.7054504033474758,0.04204501423041766,-1.788973185214332,-1.624223061975232,1.0
